;Datum;Von;bis;MW;Onshore MW;Offshore MW
Maximum;04.03.2019;13:00;13:15;16.217,058;15.206,014;1.011,044
Minimum;30.08.2019;07:45;08:00;54,575;26,139;28,436

"Datum";"Von";"bis";"MW";"Onshore MW";"Offshore MW";
01.01.2019;00:00;00:15;8.277,302;7.256,16;1.021,142;
01.01.2019;00:15;00:30;8.502,047;7.477,06;1.024,987;
01.01.2019;00:30;00:45;8.734,51;7.705,691;1.028,819;
01.01.2019;00:45;01:00;8.960,902;7.928,252;1.032,65;
01.01.2019;01:00;01:15;9.178,769;8.142,286;1.036,483;
01.01.2019;01:15;01:30;9.380,929;8.344,14;1.036,789;
01.01.2019;01:30;01:45;9.584,06;8.546,964;1.037,096;
01.01.2019;01:45;02:00;9.787,261;8.749,864;1.037,397;
01.01.2019;02:00;02:15;9.966,099;8.928,402;1.037,697;
01.01.2019;02:15;02:30;10.141,32;9.103,309;1.038,011;
01.01.2019;02:30;02:45;10.322,135;9.283,809;1.038,326;
01.01.2019;02:45;03:00;10.507,854;9.469,22;1.038,634;
01.01.2019;03:00;03:15;10.689,678;9.650,737;1.038,941;
01.01.2019;03:15;03:30;10.843,074;9.803,829;1.039,245;
01.01.2019;03:30;03:45;11.001,827;9.962,278;1.039,549;
01.01.2019;03:45;04:00;11.157,917;10.118,059;1.039,858;
01.01.2019;04:00;04:15;11.309,33;10.269,163;1.040,167;
01.01.2019;04:15;04:30;11.461,6;10.421,445;1.040,155;
01.01.2019;04:30;04:45;11.618,938;10.578,797;1.040,141;
01.01.2019;04:45;05:00;11.775,389;10.735,264;1.040,125;
01.01.2019;05:00;05:15;11.925,132;10.885,021;1.040,111;
01.01.2019;05:15;05:30;12.101,843;11.061,746;1.040,097;
01.01.2019;05:30;05:45;12.286,631;11.246,548;1.040,083;
01.01.2019;05:45;06:00;12.472,225;11.432,156;1.040,069;
01.01.2019;06:00;06:15;12.744,463;11.704,406;1.040,057;
01.01.2019;06:15;06:30;12.911,397;11.871,362;1.040,035;
01.01.2019;06:30;06:45;13.075,417;12.035,403;1.040,014;
01.01.2019;06:45;07:00;13.225,206;12.185,206;1.040;
01.01.2019;07:00;07:15;13.367,993;12.328,008;1.039,985;
01.01.2019;07:15;07:30;13.450,432;12.412,435;1.037,997;
01.01.2019;07:30;07:45;13.524,7;12.488,693;1.036,007;
01.01.2019;07:45;08:00;13.598,112;12.564,094;1.034,018;
01.01.2019;08:00;08:15;13.667,582;12.635,551;1.032,031;
01.01.2019;08:15;08:30;13.713,976;12.683,934;1.030,042;
01.01.2019;08:30;08:45;13.764,956;12.736,901;1.028,055;
01.01.2019;08:45;09:00;13.842,586;12.816,522;1.026,064;
01.01.2019;09:00;09:15;13.919,887;12.895,812;1.024,075;
01.01.2019;09:15;09:30;13.971,368;12.949,282;1.022,086;
01.01.2019;09:30;09:45;14.020,83;13.000,733;1.020,097;
01.01.2019;09:45;10:00;14.054,078;13.035,966;1.018,112;
01.01.2019;10:00;10:15;14.084,599;13.068,471;1.016,128;
01.01.2019;10:15;10:30;14.055,328;13.047,727;1.007,601;
01.01.2019;10:30;10:45;14.026,388;13.027,314;999,074;
01.01.2019;10:45;11:00;14.037,992;13.047,447;990,545;
01.01.2019;11:00;11:15;14.048,038;13.066,02;982,018;
01.01.2019;11:15;11:30;14.075,043;13.105,504;969,539;
01.01.2019;11:30;11:45;14.102,106;13.145,045;957,061;
01.01.2019;11:45;12:00;14.085,734;13.156,003;929,731;
01.01.2019;12:00;12:15;14.071,195;13.168,796;902,399;
